,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.24734387104880232,0.043496830795630236,0.04363941825416346,0.2906464123250289,0.06208702062527789
1,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,0.2314903744631993,0.023324070319238367,0.02334028653056679,0.37873459226177597,0.039760504842302744
2,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.37508544715292186,0.04763433864238108,0.04921364052679921,0.3905108925574918,0.060677177479484166
3,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.41809340216608376,0.03647185415673316,0.037495400199238464,0.4363553203839023,0.04896767004065269
4,1.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,0.445918385294351,0.05122463786426987,0.05184288355018737,0.4494756234603537,0.08244411809417457
5,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.23697365078396923,0.03167311994062864,0.03221576413014116,0.31571349463764475,0.04494781171586932
6,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.3589248253185977,0.04035599386229738,0.041281057525948094,0.399028065436288,0.05357492090951165
7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.3900751073504277,0.039013497300111506,0.04029503839056178,0.4055257730349108,0.06721722184125371
8,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.4040302072209147,0.04691005372724376,0.04779741964716677,0.4188805841848974,0.07072788418854792
9,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.3632410822281629,0.03722068518572626,0.037345983499865114,0.44848191924612046,0.048707907595741264
