,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,9.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,10.0,10.0,0.932887603392542,0.9574259049474813,0.950922211263989,0.32713405353643576,0.08973370079247243
1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,1.0,0.9223573820518886,0.9460218605975764,0.938445213457662,0.3375869652911658,0.08423512791063933
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,10.0,0.9294050340994137,0.9505480112674849,0.9453834813072882,0.34639254117869284,0.08305135848893115
3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,10.0,0.9103411617186963,0.9475553466791783,0.9418180296599077,0.3444872334752284,0.08247301167949056
4,7.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,10.0,10.0,0.9023905934535301,0.9268682914845225,0.9246957643910276,0.2903726933792384,0.08287857171811447
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8650058434607335,0.9312673356453276,0.9226700232174988,0.3444756448117375,0.08818830849885084
6,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,10.0,0.9040136136202618,0.9432816519302545,0.9074614260729862,0.3438347211345772,0.08100270788418837
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9084086915893212,0.9488297363536631,0.9389037189407579,0.3402019879019059,0.08229575304941295
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.9178886499270903,0.9370563868540426,0.9218510162433758,0.3427622513547913,0.08173597446766562
9,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,10.0,10.0,0.9209342926831677,0.9395005624236392,0.9352332947165132,0.3294671193888224,0.08236182310585527
