,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,10.0,10.0,0.606601586199229,0.5321892125735613,0.5171437106376664,0.28570498604936756,0.06719047870089087
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,10.0,0.5225063821067578,0.4265780899458631,0.2825566724706569,0.3226201448024159,0.07166442686099193
2,12.0,7.0,10.0,10.0,10.0,10.0,1.0,7.0,10.0,10.0,0.3459571835387024,0.05608025098207428,0.05932745535084691,0.32701085941350005,0.06256690138605814
3,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,10.0,10.0,0.43388147226022805,0.3174294540942278,0.26999575958007693,0.2866390969372297,0.06259233503815183
4,4.0,1.0,10.0,10.0,10.0,10.0,4.0,1.0,10.0,10.0,0.41209187417329673,0.07610270666594139,0.10494159192795353,0.3027369468971181,0.07744750293420155
5,12.0,12.0,11.0,11.0,11.0,11.0,4.0,11.0,10.0,10.0,0.4037597306457214,0.3205704193981739,0.1409054273872399,0.2730337535321622,0.06188846660651163
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,0.510582674155138,0.4458306152052842,0.3972468541053249,0.29454536255123565,0.06608461330454644
7,3.0,1.0,10.0,10.0,10.0,10.0,3.0,5.0,10.0,10.0,0.39484313043684865,0.07071501100736201,0.09144395504463816,0.3296125369528483,0.07195095366842583
8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,10.0,10.0,0.5230274359017928,0.3635555094873939,0.3345919924858958,0.24987904195179245,0.06549685592072586
9,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,0.33684696987841806,0.055849231898385254,0.06184805875553722,0.21428006157542395,0.059224912305510365
