,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,6.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.4791477087733243,0.07426666091645256,0.08986359140720807,0.4605899348742936,0.07950468301357917
1,1.0,6.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.42520837943186024,0.0844114614418329,0.08988238728879402,0.4291279913123298,0.09139945936430506
2,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.44519052005266313,0.06918891277221556,0.07468698721568737,0.44546724129286847,0.07549010477315761
3,3.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.2551351600322353,0.08642263018778104,0.08860333924955648,0.24549192901302921,0.10091025601956113
4,3.0,7.0,3.0,6.0,3.0,5.0,3.0,5.0,4.0,5.0,0.48468137736915123,0.06419427132523685,0.06842746741519448,0.45458496058689474,0.09434538056220855
5,1.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,0.4443065966419762,0.07020293492352786,0.07168420362844377,0.42389218780339005,0.08739562068419791
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5439713959701613,0.29325988501138517,0.22708346691676817,0.4636259069684328,0.08354654519051116
7,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.4571122801232755,0.06562811098334487,0.07221157068450246,0.4520760170424518,0.07929405570638011
8,1.0,6.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.4241114553894631,0.06601137029820076,0.06850708036585763,0.4087055932505255,0.0644293751804671
9,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.4365781400118927,0.0625141889076823,0.0696155504295681,0.4014071599672762,0.0729713122464373
